"","region","time_period","strategy_code","difference_variable","difference_value","variable","value"
"101","ecuador",34,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"102","ecuador",35,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"103","ecuador",4,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"104","ecuador",5,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"105","ecuador",6,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"106","ecuador",7,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"107","ecuador",8,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"108","ecuador",9,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"109","mexico",0,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"110","mexico",1,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"111","mexico",10,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"112","mexico",11,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"113","mexico",12,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"114","mexico",13,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"115","mexico",14,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"116","mexico",15,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"117","mexico",16,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"118","mexico",17,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"119","mexico",18,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"120","mexico",19,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"121","mexico",2,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"122","mexico",20,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"123","mexico",21,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"124","mexico",22,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"125","mexico",23,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"126","mexico",24,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"127","mexico",25,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"128","mexico",26,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"129","mexico",27,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"130","mexico",28,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"131","mexico",29,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"132","mexico",3,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"133","mexico",30,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"134","mexico",31,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"135","mexico",32,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"136","mexico",33,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
